sr,source_ip,destination_ip,protocol,packet_length,packet_info,source_mac,destination_mac,source_vendor,destination_vendor,asset_type
21,20.198.119.84,192.168.100.19,6,229,"<Ether  dst=b4:6b:fc:c7:e5:6b src=04:b0:e7:65:21:ef type=IPv4 |<IP  version=4 ihl=5 tos=0x0 len=215 id=20242 flags= frag=0 ttl=111 proto=tcp chksum=0x4b39 src=20.198.119.84 dst=192.168.100.19 |<TCP  sport=https dport=51727 seq=358296950 ack=2914063974 dataofs=5 reserved=0 flags=PA window=7933 chksum=0xa4e3 urgptr=0 |<Raw  load='\x17\x03\x03\x00\\xaa\x00\x00\x00\x00\x00\x00\x00d\\xbc""\\xa0\\xcb\x01Ij\\xe9\x0c+\x00\x11g\\xa2i\\x9a\x0eF\\x83\\\rD\\xec,\\xfd#ނi\x1b\\xd4&\x14\x14t\\x99\x07\\xd1n\\xe0\\x9d\\xa4\\xa8w\\xa5\\xdd\\xc3\x01f\x07\\x81h\\xa91\\xe6\x03\\xad\x1dd\\xf0\\x85皽\\xf0C@\x0b,\\x98b\\xd3\\xd9XҶ:\t\\x88\tG\\xb25 a.\\xc1\\xec\x0bpo\\xa8\\xb0j/C`AX\\xb3\\x8f\x06@\\xa7\\x88\\xd5ȇ\\xf1u\\x98*ڨ\\xb2$\\xcez\\xa4\\xb5\\x8d6\\x90}s9U\\xaaX\t\\xac\\xb7\\\x01\x1au\\xa4\\xee\\xe9\\xf7\\xab\\xfb\\xe1\\xa1L\\xa7\\xe1\'\\xb1\x0b\\xa5\\xabh\\)\x1c\\x83\\xae\\xeb!}\\xa3' |>>>>",04:b0:e7:65:21:ef,b4:6b:fc:c7:e5:6b,"HUAWEI TECHNOLOGIES CO.,LTD",Intel Corporate,Unknown Protocol
22,192.168.100.19,20.198.119.84,6,54,<Ether  dst=04:b0:e7:65:21:ef src=b4:6b:fc:c7:e5:6b type=IPv4 |<IP  version=4 ihl=5 tos=0x0 len=40 id=15338 flags=DF frag=0 ttl=128 proto=tcp chksum=0xe10 src=192.168.100.19 dst=20.198.119.84 |<TCP  sport=51727 dport=https seq=2914063974 ack=358297125 dataofs=5 reserved=0 flags=A window=257 chksum=0x2a9b urgptr=0 |>>>,b4:6b:fc:c7:e5:6b,04:b0:e7:65:21:ef,Intel Corporate,"HUAWEI TECHNOLOGIES CO.,LTD",Unknown Protocol
23,192.168.100.1,239.255.255.250,17,175,"<Ether  dst=b4:6b:fc:c7:e5:6b src=04:b0:e7:65:21:ef type=IPv4 |<IP  version=4 ihl=5 tos=0x0 len=161 id=62512 flags=DF frag=0 ttl=4 proto=udp chksum=0x6d77 src=192.168.100.1 dst=239.255.255.250 |<UDP  sport=33642 dport=ssdp len=141 chksum=0x6f33 |<Raw  load='M-SEARCH * HTTP/1.1\r\nHOST: 239.255.255.250:1900\r\nMAN: ""ssdp:discover""\r\nMX: 5\r\nST: urn:www-huawei-com:service:NetworkSyncService:1\r\n\r\n' |>>>>",04:b0:e7:65:21:ef,b4:6b:fc:c7:e5:6b,"HUAWEI TECHNOLOGIES CO.,LTD",Intel Corporate,Unknown Protocol
24,192.168.100.1,239.255.255.250,17,175,"<Ether  dst=b4:6b:fc:c7:e5:6b src=04:b0:e7:65:21:ef type=IPv4 |<IP  version=4 ihl=5 tos=0x0 len=161 id=62513 flags=DF frag=0 ttl=4 proto=udp chksum=0x6d76 src=192.168.100.1 dst=239.255.255.250 |<UDP  sport=33642 dport=ssdp len=141 chksum=0x6f33 |<Raw  load='M-SEARCH * HTTP/1.1\r\nHOST: 239.255.255.250:1900\r\nMAN: ""ssdp:discover""\r\nMX: 5\r\nST: urn:www-huawei-com:service:NetworkSyncService:1\r\n\r\n' |>>>>",04:b0:e7:65:21:ef,b4:6b:fc:c7:e5:6b,"HUAWEI TECHNOLOGIES CO.,LTD",Intel Corporate,Unknown Protocol
25,192.168.100.13,224.0.0.251,17,103,<Ether  dst=b4:6b:fc:c7:e5:6b src=5a:3f:ca:a1:ab:9a type=IPv4 |<IP  version=4 ihl=5 tos=0x0 len=89 id=41138 flags=DF frag=0 ttl=255 proto=udp chksum=0xd52f src=192.168.100.13 dst=224.0.0.251 |<UDP  sport=5353 dport=5353 len=69 chksum=0xcaa4 |<DNS  id=15 qr=0 opcode=QUERY aa=0 tc=0 rd=0 ra=0 z=0 ad=0 cd=0 rcode=ok qdcount=2 ancount=0 nscount=0 arcount=0 qd=<DNSQR  qname='_CA5E8412._sub._googlecast._tcp.local.' qtype=PTR qclass=IN |<DNSQR  qname='_googlecast._tcp.local.' qtype=PTR qclass=IN |>> an=None ns=None ar=None |>>>>,5a:3f:ca:a1:ab:9a,b4:6b:fc:c7:e5:6b,Vendor Not Found,Intel Corporate,Unknown Protocol
26,192.168.100.13,239.255.255.250,17,164,"<Ether  dst=b4:6b:fc:c7:e5:6b src=5a:3f:ca:a1:ab:9a type=IPv4 |<IP  version=4 ihl=5 tos=0x0 len=150 id=56626 flags=DF frag=0 ttl=1 proto=udp chksum=0x8774 src=192.168.100.13 dst=239.255.255.250 |<UDP  sport=37579 dport=ssdp len=130 chksum=0x6b4e |<Raw  load='M-SEARCH * HTTP/1.1\r\nHOST: 239.255.255.250:1900\r\nMAN: ""ssdp:discover""\r\nST: urn:mdx-netflix-com:service:target:1\r\nMX: 2\r\n\r\n' |>>>>",5a:3f:ca:a1:ab:9a,b4:6b:fc:c7:e5:6b,Vendor Not Found,Intel Corporate,Unknown Protocol
27,192.168.100.13,239.255.255.250,17,167,"<Ether  dst=b4:6b:fc:c7:e5:6b src=5a:3f:ca:a1:ab:9a type=IPv4 |<IP  version=4 ihl=5 tos=0x0 len=153 id=56627 flags=DF frag=0 ttl=1 proto=udp chksum=0x8770 src=192.168.100.13 dst=239.255.255.250 |<UDP  sport=44310 dport=ssdp len=133 chksum=0xbe70 |<Raw  load='M-SEARCH * HTTP/1.1\r\nHOST: 239.255.255.250:1900\r\nMAN: ""ssdp:discover""\r\nST: urn:dial-multiscreen-org:service:dial:1\r\nMX: 2\r\n\r\n' |>>>>",5a:3f:ca:a1:ab:9a,b4:6b:fc:c7:e5:6b,Vendor Not Found,Intel Corporate,Unknown Protocol
28,192.168.100.13,239.255.255.250,17,167,"<Ether  dst=b4:6b:fc:c7:e5:6b src=5a:3f:ca:a1:ab:9a type=IPv4 |<IP  version=4 ihl=5 tos=0x0 len=153 id=56865 flags=DF frag=0 ttl=1 proto=udp chksum=0x8682 src=192.168.100.13 dst=239.255.255.250 |<UDP  sport=59005 dport=ssdp len=133 chksum=0x8509 |<Raw  load='M-SEARCH * HTTP/1.1\r\nHOST: 239.255.255.250:1900\r\nMAN: ""ssdp:discover""\r\nST: urn:dial-multiscreen-org:service:dial:1\r\nMX: 2\r\n\r\n' |>>>>",5a:3f:ca:a1:ab:9a,b4:6b:fc:c7:e5:6b,Vendor Not Found,Intel Corporate,Unknown Protocol
29,192.168.100.13,239.255.255.250,17,164,"<Ether  dst=b4:6b:fc:c7:e5:6b src=5a:3f:ca:a1:ab:9a type=IPv4 |<IP  version=4 ihl=5 tos=0x0 len=150 id=56866 flags=DF frag=0 ttl=1 proto=udp chksum=0x8684 src=192.168.100.13 dst=239.255.255.250 |<UDP  sport=45300 dport=ssdp len=130 chksum=0x4d25 |<Raw  load='M-SEARCH * HTTP/1.1\r\nHOST: 239.255.255.250:1900\r\nMAN: ""ssdp:discover""\r\nST: urn:mdx-netflix-com:service:target:1\r\nMX: 2\r\n\r\n' |>>>>",5a:3f:ca:a1:ab:9a,b4:6b:fc:c7:e5:6b,Vendor Not Found,Intel Corporate,Unknown Protocol
30,192.168.100.18,239.255.255.250,17,217,"<Ether  dst=b4:6b:fc:c7:e5:6b src=c4:d9:87:04:a2:c7 type=IPv4 |<IP  version=4 ihl=5 tos=0x0 len=203 id=28987 flags= frag=0 ttl=1 proto=udp chksum=0x3332 src=192.168.100.18 dst=239.255.255.250 |<UDP  sport=58515 dport=ssdp len=183 chksum=0x8c55 |<Raw  load='M-SEARCH * HTTP/1.1\r\nHOST: 239.255.255.250:1900\r\nMAN: ""ssdp:discover""\r\nMX: 1\r\nST: urn:dial-multiscreen-org:service:dial:1\r\nUSER-AGENT: Google Chrome/124.0.6367.118 Windows\r\n\r\n' |>>>>",c4:d9:87:04:a2:c7,b4:6b:fc:c7:e5:6b,Intel Corporate,Intel Corporate,Unknown Protocol
31,192.168.100.13,239.255.255.250,17,167,"<Ether  dst=b4:6b:fc:c7:e5:6b src=5a:3f:ca:a1:ab:9a type=IPv4 |<IP  version=4 ihl=5 tos=0x0 len=153 id=57093 flags=DF frag=0 ttl=1 proto=udp chksum=0x859e src=192.168.100.13 dst=239.255.255.250 |<UDP  sport=58257 dport=ssdp len=133 chksum=0x87f5 |<Raw  load='M-SEARCH * HTTP/1.1\r\nHOST: 239.255.255.250:1900\r\nMAN: ""ssdp:discover""\r\nST: urn:dial-multiscreen-org:service:dial:1\r\nMX: 2\r\n\r\n' |>>>>",5a:3f:ca:a1:ab:9a,b4:6b:fc:c7:e5:6b,Vendor Not Found,Intel Corporate,Unknown Protocol
32,192.168.100.13,239.255.255.250,17,164,"<Ether  dst=b4:6b:fc:c7:e5:6b src=5a:3f:ca:a1:ab:9a type=IPv4 |<IP  version=4 ihl=5 tos=0x0 len=150 id=57094 flags=DF frag=0 ttl=1 proto=udp chksum=0x85a0 src=192.168.100.13 dst=239.255.255.250 |<UDP  sport=33493 dport=ssdp len=130 chksum=0x7b44 |<Raw  load='M-SEARCH * HTTP/1.1\r\nHOST: 239.255.255.250:1900\r\nMAN: ""ssdp:discover""\r\nST: urn:mdx-netflix-com:service:target:1\r\nMX: 2\r\n\r\n' |>>>>",5a:3f:ca:a1:ab:9a,b4:6b:fc:c7:e5:6b,Vendor Not Found,Intel Corporate,Unknown Protocol
33,192.168.100.18,239.255.255.250,17,217,"<Ether  dst=b4:6b:fc:c7:e5:6b src=c4:d9:87:04:a2:c7 type=IPv4 |<IP  version=4 ihl=5 tos=0x0 len=203 id=28988 flags= frag=0 ttl=1 proto=udp chksum=0x3331 src=192.168.100.18 dst=239.255.255.250 |<UDP  sport=58515 dport=ssdp len=183 chksum=0x8c55 |<Raw  load='M-SEARCH * HTTP/1.1\r\nHOST: 239.255.255.250:1900\r\nMAN: ""ssdp:discover""\r\nMX: 1\r\nST: urn:dial-multiscreen-org:service:dial:1\r\nUSER-AGENT: Google Chrome/124.0.6367.118 Windows\r\n\r\n' |>>>>",c4:d9:87:04:a2:c7,b4:6b:fc:c7:e5:6b,Intel Corporate,Intel Corporate,Unknown Protocol
34,192.168.100.18,239.255.255.250,17,217,"<Ether  dst=b4:6b:fc:c7:e5:6b src=c4:d9:87:04:a2:c7 type=IPv4 |<IP  version=4 ihl=5 tos=0x0 len=203 id=28989 flags= frag=0 ttl=1 proto=udp chksum=0x3330 src=192.168.100.18 dst=239.255.255.250 |<UDP  sport=58515 dport=ssdp len=183 chksum=0x8c55 |<Raw  load='M-SEARCH * HTTP/1.1\r\nHOST: 239.255.255.250:1900\r\nMAN: ""ssdp:discover""\r\nMX: 1\r\nST: urn:dial-multiscreen-org:service:dial:1\r\nUSER-AGENT: Google Chrome/124.0.6367.118 Windows\r\n\r\n' |>>>>",c4:d9:87:04:a2:c7,b4:6b:fc:c7:e5:6b,Intel Corporate,Intel Corporate,Unknown Protocol
35,192.168.100.18,239.255.255.250,17,217,"<Ether  dst=b4:6b:fc:c7:e5:6b src=c4:d9:87:04:a2:c7 type=IPv4 |<IP  version=4 ihl=5 tos=0x0 len=203 id=28990 flags= frag=0 ttl=1 proto=udp chksum=0x332f src=192.168.100.18 dst=239.255.255.250 |<UDP  sport=58515 dport=ssdp len=183 chksum=0x8c55 |<Raw  load='M-SEARCH * HTTP/1.1\r\nHOST: 239.255.255.250:1900\r\nMAN: ""ssdp:discover""\r\nMX: 1\r\nST: urn:dial-multiscreen-org:service:dial:1\r\nUSER-AGENT: Google Chrome/124.0.6367.118 Windows\r\n\r\n' |>>>>",c4:d9:87:04:a2:c7,b4:6b:fc:c7:e5:6b,Intel Corporate,Intel Corporate,Unknown Protocol
36,52.113.194.132,192.168.100.19,6,54,<Ether  dst=b4:6b:fc:c7:e5:6b src=04:b0:e7:65:21:ef type=IPv4 |<IP  version=4 ihl=5 tos=0x0 len=40 id=31644 flags= frag=0 ttl=120 proto=tcp chksum=0xab82 src=52.113.194.132 dst=192.168.100.19 |<TCP  sport=https dport=49350 seq=1069027964 ack=3154714017 dataofs=5 reserved=0 flags=RA window=0 chksum=0xa5be urgptr=0 |>>>,04:b0:e7:65:21:ef,b4:6b:fc:c7:e5:6b,"HUAWEI TECHNOLOGIES CO.,LTD",Intel Corporate,Unknown Protocol
37,192.168.100.13,224.0.0.251,17,103,<Ether  dst=b4:6b:fc:c7:e5:6b src=5a:3f:ca:a1:ab:9a type=IPv4 |<IP  version=4 ihl=5 tos=0x0 len=89 id=45330 flags=DF frag=0 ttl=255 proto=udp chksum=0xc4cf src=192.168.100.13 dst=224.0.0.251 |<UDP  sport=5353 dport=5353 len=69 chksum=0xcaa3 |<DNS  id=16 qr=0 opcode=QUERY aa=0 tc=0 rd=0 ra=0 z=0 ad=0 cd=0 rcode=ok qdcount=2 ancount=0 nscount=0 arcount=0 qd=<DNSQR  qname='_CA5E8412._sub._googlecast._tcp.local.' qtype=PTR qclass=IN |<DNSQR  qname='_googlecast._tcp.local.' qtype=PTR qclass=IN |>> an=None ns=None ar=None |>>>>,5a:3f:ca:a1:ab:9a,b4:6b:fc:c7:e5:6b,Vendor Not Found,Intel Corporate,Unknown Protocol
38,192.168.100.13,239.255.255.250,17,167,"<Ether  dst=b4:6b:fc:c7:e5:6b src=5a:3f:ca:a1:ab:9a type=IPv4 |<IP  version=4 ihl=5 tos=0x0 len=153 id=61001 flags=DF frag=0 ttl=1 proto=udp chksum=0x765a src=192.168.100.13 dst=239.255.255.250 |<UDP  sport=44162 dport=ssdp len=133 chksum=0xbf04 |<Raw  load='M-SEARCH * HTTP/1.1\r\nHOST: 239.255.255.250:1900\r\nMAN: ""ssdp:discover""\r\nST: urn:dial-multiscreen-org:service:dial:1\r\nMX: 2\r\n\r\n' |>>>>",5a:3f:ca:a1:ab:9a,b4:6b:fc:c7:e5:6b,Vendor Not Found,Intel Corporate,Unknown Protocol
39,192.168.100.13,239.255.255.250,17,164,"<Ether  dst=b4:6b:fc:c7:e5:6b src=5a:3f:ca:a1:ab:9a type=IPv4 |<IP  version=4 ihl=5 tos=0x0 len=150 id=61002 flags=DF frag=0 ttl=1 proto=udp chksum=0x765c src=192.168.100.13 dst=239.255.255.250 |<UDP  sport=52482 dport=ssdp len=130 chksum=0x3117 |<Raw  load='M-SEARCH * HTTP/1.1\r\nHOST: 239.255.255.250:1900\r\nMAN: ""ssdp:discover""\r\nST: urn:mdx-netflix-com:service:target:1\r\nMX: 2\r\n\r\n' |>>>>",5a:3f:ca:a1:ab:9a,b4:6b:fc:c7:e5:6b,Vendor Not Found,Intel Corporate,Unknown Protocol
40,192.168.100.13,239.255.255.250,17,167,"<Ether  dst=b4:6b:fc:c7:e5:6b src=5a:3f:ca:a1:ab:9a type=IPv4 |<IP  version=4 ihl=5 tos=0x0 len=153 id=61451 flags=DF frag=0 ttl=1 proto=udp chksum=0x7498 src=192.168.100.13 dst=239.255.255.250 |<UDP  sport=53586 dport=ssdp len=133 chksum=0x9a34 |<Raw  load='M-SEARCH * HTTP/1.1\r\nHOST: 239.255.255.250:1900\r\nMAN: ""ssdp:discover""\r\nST: urn:dial-multiscreen-org:service:dial:1\r\nMX: 2\r\n\r\n' |>>>>",5a:3f:ca:a1:ab:9a,b4:6b:fc:c7:e5:6b,Vendor Not Found,Intel Corporate,Unknown Protocol
41,192.168.100.13,239.255.255.250,17,164,"<Ether  dst=b4:6b:fc:c7:e5:6b src=5a:3f:ca:a1:ab:9a type=IPv4 |<IP  version=4 ihl=5 tos=0x0 len=150 id=61452 flags=DF frag=0 ttl=1 proto=udp chksum=0x749a src=192.168.100.13 dst=239.255.255.250 |<UDP  sport=50611 dport=ssdp len=130 chksum=0x3866 |<Raw  load='M-SEARCH * HTTP/1.1\r\nHOST: 239.255.255.250:1900\r\nMAN: ""ssdp:discover""\r\nST: urn:mdx-netflix-com:service:target:1\r\nMX: 2\r\n\r\n' |>>>>",5a:3f:ca:a1:ab:9a,b4:6b:fc:c7:e5:6b,Vendor Not Found,Intel Corporate,Unknown Protocol
42,192.168.100.13,239.255.255.250,17,167,"<Ether  dst=b4:6b:fc:c7:e5:6b src=5a:3f:ca:a1:ab:9a type=IPv4 |<IP  version=4 ihl=5 tos=0x0 len=153 id=61691 flags=DF frag=0 ttl=1 proto=udp chksum=0x73a8 src=192.168.100.13 dst=239.255.255.250 |<UDP  sport=55115 dport=ssdp len=133 chksum=0x943b |<Raw  load='M-SEARCH * HTTP/1.1\r\nHOST: 239.255.255.250:1900\r\nMAN: ""ssdp:discover""\r\nST: urn:dial-multiscreen-org:service:dial:1\r\nMX: 2\r\n\r\n' |>>>>",5a:3f:ca:a1:ab:9a,b4:6b:fc:c7:e5:6b,Vendor Not Found,Intel Corporate,Unknown Protocol
43,192.168.100.13,239.255.255.250,17,164,"<Ether  dst=b4:6b:fc:c7:e5:6b src=5a:3f:ca:a1:ab:9a type=IPv4 |<IP  version=4 ihl=5 tos=0x0 len=150 id=61692 flags=DF frag=0 ttl=1 proto=udp chksum=0x73aa src=192.168.100.13 dst=239.255.255.250 |<UDP  sport=51635 dport=ssdp len=130 chksum=0x3466 |<Raw  load='M-SEARCH * HTTP/1.1\r\nHOST: 239.255.255.250:1900\r\nMAN: ""ssdp:discover""\r\nST: urn:mdx-netflix-com:service:target:1\r\nMX: 2\r\n\r\n' |>>>>",5a:3f:ca:a1:ab:9a,b4:6b:fc:c7:e5:6b,Vendor Not Found,Intel Corporate,Unknown Protocol
44,192.168.100.19,13.67.9.5,6,55,<Ether  dst=04:b0:e7:65:21:ef src=b4:6b:fc:c7:e5:6b type=IPv4 |<IP  version=4 ihl=5 tos=0x0 len=41 id=8040 flags=DF frag=0 ttl=128 proto=tcp chksum=0xa063 src=192.168.100.19 dst=13.67.9.5 |<TCP  sport=49323 dport=https seq=2746986492 ack=2814690637 dataofs=5 reserved=0 flags=A window=258 chksum=0xf09c urgptr=0 |<Raw  load='\x00' |>>>>,b4:6b:fc:c7:e5:6b,04:b0:e7:65:21:ef,Intel Corporate,"HUAWEI TECHNOLOGIES CO.,LTD",Unknown Protocol
45,13.67.9.5,192.168.100.19,6,66,"<Ether  dst=b4:6b:fc:c7:e5:6b src=04:b0:e7:65:21:ef type=IPv4 |<IP  version=4 ihl=5 tos=0x0 len=52 id=46803 flags= frag=0 ttl=108 proto=tcp chksum=0x5ced src=13.67.9.5 dst=192.168.100.19 |<TCP  sport=https dport=49323 seq=2814690637 ack=2746986493 dataofs=8 reserved=0 flags=A window=16385 chksum=0xd414 urgptr=0 options=[('NOP', None), ('NOP', None), ('SAck', (2746986492, 2746986493))] |>>>",04:b0:e7:65:21:ef,b4:6b:fc:c7:e5:6b,"HUAWEI TECHNOLOGIES CO.,LTD",Intel Corporate,Unknown Protocol
46,192.168.100.19,20.42.73.27,6,55,<Ether  dst=04:b0:e7:65:21:ef src=b4:6b:fc:c7:e5:6b type=IPv4 |<IP  version=4 ihl=5 tos=0x0 len=41 id=5004 flags=DF frag=0 ttl=128 proto=tcp chksum=0x6542 src=192.168.100.19 dst=20.42.73.27 |<TCP  sport=49317 dport=https seq=2860427389 ack=1891395692 dataofs=5 reserved=0 flags=A window=254 chksum=0x3e4f urgptr=0 |<Raw  load='\x00' |>>>>,b4:6b:fc:c7:e5:6b,04:b0:e7:65:21:ef,Intel Corporate,"HUAWEI TECHNOLOGIES CO.,LTD",Unknown Protocol
47,20.42.73.27,192.168.100.19,6,66,"<Ether  dst=b4:6b:fc:c7:e5:6b src=04:b0:e7:65:21:ef type=IPv4 |<IP  version=4 ihl=5 tos=0x0 len=52 id=51012 flags= frag=0 ttl=107 proto=tcp chksum=0x67f src=20.42.73.27 dst=192.168.100.19 |<TCP  sport=https dport=49317 seq=1891395692 ack=2860427390 dataofs=8 reserved=0 flags=A window=16384 chksum=0x233c urgptr=0 options=[('NOP', None), ('NOP', None), ('SAck', (2860427389, 2860427390))] |>>>",04:b0:e7:65:21:ef,b4:6b:fc:c7:e5:6b,"HUAWEI TECHNOLOGIES CO.,LTD",Intel Corporate,Unknown Protocol
48,192.168.100.8,224.0.0.22,2,54,"<Ether  dst=b4:6b:fc:c7:e5:6b src=7c:b2:7d:dc:77:e2 type=IPv4 |<IP  version=4 ihl=6 tos=0x0 len=40 id=23942 flags= frag=0 ttl=1 proto=2 chksum=0xc282 src=192.168.100.8 dst=224.0.0.22 options=[<IPOption_Router_Alert  copy_flag=1 optclass=control option=router_alert length=4 alert=router_shall_examine_packet |>] |<Raw  load='""\x00\\xfa\\x8c\x00\x00\x00\x01\x03\x00\x00\x00\\xe0\x00\x00q' |>>>",7c:b2:7d:dc:77:e2,b4:6b:fc:c7:e5:6b,Intel Corporate,Intel Corporate,Unknown Protocol
49,,,,90,"<Ether  dst=b4:6b:fc:c7:e5:6b src=7c:b2:7d:dc:77:e2 type=IPv6 |<IPv6  version=6 tc=0 fl=0 plen=36 nh=Hop-by-Hop Option Header hlim=1 src=fe80::c00a:24aa:7fee:cf2c dst=ff02::16 |<IPv6ExtHdrHopByHop  nh=ICMPv6 len=0 autopad=On options=[<RouterAlert  otype=Router Alert [00: skip, 0: Don't change en-route] optlen=2 value=Datagram contains a MLD message |>, <PadN  otype=PadN [00: skip, 0: Don't change en-route] optlen=0 |>] |<ICMPv6MLReport2  type=MLD Report Version 2 res=0 cksum=0x3c01 reserved=0 records_number=1 records=[<ICMPv6MLDMultAddrRec  rtype=3 auxdata_len=0 sources_number=0 dst=ff02::13a |>] |>>>>",7c:b2:7d:dc:77:e2,b4:6b:fc:c7:e5:6b,Intel Corporate,Intel Corporate,Unknown Protocol
50,192.168.100.8,224.0.0.22,2,54,"<Ether  dst=b4:6b:fc:c7:e5:6b src=7c:b2:7d:dc:77:e2 type=IPv4 |<IP  version=4 ihl=6 tos=0x0 len=40 id=23943 flags= frag=0 ttl=1 proto=2 chksum=0xc281 src=192.168.100.8 dst=224.0.0.22 options=[<IPOption_Router_Alert  copy_flag=1 optclass=control option=router_alert length=4 alert=router_shall_examine_packet |>] |<Raw  load='""\x00\\xf9\\x8c\x00\x00\x00\x01\x04\x00\x00\x00\\xe0\x00\x00q' |>>>",7c:b2:7d:dc:77:e2,b4:6b:fc:c7:e5:6b,Intel Corporate,Intel Corporate,Unknown Protocol
51,,,,90,"<Ether  dst=b4:6b:fc:c7:e5:6b src=7c:b2:7d:dc:77:e2 type=IPv6 |<IPv6  version=6 tc=0 fl=0 plen=36 nh=Hop-by-Hop Option Header hlim=1 src=fe80::c00a:24aa:7fee:cf2c dst=ff02::16 |<IPv6ExtHdrHopByHop  nh=ICMPv6 len=0 autopad=On options=[<RouterAlert  otype=Router Alert [00: skip, 0: Don't change en-route] optlen=2 value=Datagram contains a MLD message |>, <PadN  otype=PadN [00: skip, 0: Don't change en-route] optlen=0 |>] |<ICMPv6MLReport2  type=MLD Report Version 2 res=0 cksum=0x3b01 reserved=0 records_number=1 records=[<ICMPv6MLDMultAddrRec  rtype=4 auxdata_len=0 sources_number=0 dst=ff02::13a |>] |>>>>",7c:b2:7d:dc:77:e2,b4:6b:fc:c7:e5:6b,Intel Corporate,Intel Corporate,Unknown Protocol
52,192.168.100.8,224.0.0.22,2,54,"<Ether  dst=b4:6b:fc:c7:e5:6b src=7c:b2:7d:dc:77:e2 type=IPv4 |<IP  version=4 ihl=6 tos=0x0 len=40 id=23944 flags= frag=0 ttl=1 proto=2 chksum=0xc280 src=192.168.100.8 dst=224.0.0.22 options=[<IPOption_Router_Alert  copy_flag=1 optclass=control option=router_alert length=4 alert=router_shall_examine_packet |>] |<Raw  load='""\x00\\xfa\\x8c\x00\x00\x00\x01\x03\x00\x00\x00\\xe0\x00\x00q' |>>>",7c:b2:7d:dc:77:e2,b4:6b:fc:c7:e5:6b,Intel Corporate,Intel Corporate,Unknown Protocol
53,,,,90,"<Ether  dst=b4:6b:fc:c7:e5:6b src=7c:b2:7d:dc:77:e2 type=IPv6 |<IPv6  version=6 tc=0 fl=0 plen=36 nh=Hop-by-Hop Option Header hlim=1 src=fe80::c00a:24aa:7fee:cf2c dst=ff02::16 |<IPv6ExtHdrHopByHop  nh=ICMPv6 len=0 autopad=On options=[<RouterAlert  otype=Router Alert [00: skip, 0: Don't change en-route] optlen=2 value=Datagram contains a MLD message |>, <PadN  otype=PadN [00: skip, 0: Don't change en-route] optlen=0 |>] |<ICMPv6MLReport2  type=MLD Report Version 2 res=0 cksum=0x3c01 reserved=0 records_number=1 records=[<ICMPv6MLDMultAddrRec  rtype=3 auxdata_len=0 sources_number=0 dst=ff02::13a |>] |>>>>",7c:b2:7d:dc:77:e2,b4:6b:fc:c7:e5:6b,Intel Corporate,Intel Corporate,Unknown Protocol
54,192.168.100.8,224.0.0.22,2,54,"<Ether  dst=b4:6b:fc:c7:e5:6b src=7c:b2:7d:dc:77:e2 type=IPv4 |<IP  version=4 ihl=6 tos=0x0 len=40 id=23945 flags= frag=0 ttl=1 proto=2 chksum=0xc27f src=192.168.100.8 dst=224.0.0.22 options=[<IPOption_Router_Alert  copy_flag=1 optclass=control option=router_alert length=4 alert=router_shall_examine_packet |>] |<Raw  load='""\x00\\xf9\\x8c\x00\x00\x00\x01\x04\x00\x00\x00\\xe0\x00\x00q' |>>>",7c:b2:7d:dc:77:e2,b4:6b:fc:c7:e5:6b,Intel Corporate,Intel Corporate,Unknown Protocol
55,,,,90,"<Ether  dst=b4:6b:fc:c7:e5:6b src=7c:b2:7d:dc:77:e2 type=IPv6 |<IPv6  version=6 tc=0 fl=0 plen=36 nh=Hop-by-Hop Option Header hlim=1 src=fe80::c00a:24aa:7fee:cf2c dst=ff02::16 |<IPv6ExtHdrHopByHop  nh=ICMPv6 len=0 autopad=On options=[<RouterAlert  otype=Router Alert [00: skip, 0: Don't change en-route] optlen=2 value=Datagram contains a MLD message |>, <PadN  otype=PadN [00: skip, 0: Don't change en-route] optlen=0 |>] |<ICMPv6MLReport2  type=MLD Report Version 2 res=0 cksum=0x3b01 reserved=0 records_number=1 records=[<ICMPv6MLDMultAddrRec  rtype=4 auxdata_len=0 sources_number=0 dst=ff02::13a |>] |>>>>",7c:b2:7d:dc:77:e2,b4:6b:fc:c7:e5:6b,Intel Corporate,Intel Corporate,Unknown Protocol
56,192.168.100.8,224.0.0.22,2,54,"<Ether  dst=b4:6b:fc:c7:e5:6b src=7c:b2:7d:dc:77:e2 type=IPv4 |<IP  version=4 ihl=6 tos=0x0 len=40 id=23946 flags= frag=0 ttl=1 proto=2 chksum=0xc27e src=192.168.100.8 dst=224.0.0.22 options=[<IPOption_Router_Alert  copy_flag=1 optclass=control option=router_alert length=4 alert=router_shall_examine_packet |>] |<Raw  load='""\x00\\xf9\\x8c\x00\x00\x00\x01\x04\x00\x00\x00\\xe0\x00\x00q' |>>>",7c:b2:7d:dc:77:e2,b4:6b:fc:c7:e5:6b,Intel Corporate,Intel Corporate,Unknown Protocol
